title,price,reference,image_url
pc portable dynabook sattelite pro l50-j-10s / i3 11é gén / 8 go,1495000.0,[L50-J-10S],
pc portable lenovo ideapad 1 15iau7 / i5-1235u / 8 go / gris / avec sac lenovo offert,1499000.0,[82QD00E4FG-2Y],
pc portable msi modern 15 - b13m / i5-1335u / 16 go / 512 go ssd,1499000.0,[B13M-1018XFR],
pc portable dell vostro 3530 / i5-1334u / 8 go / 512 go ssd / noir,1519000.0,[N3409PVNB3530-UBU],
pc portable hp 15-fd0267nk / i5-1334u / 8 go / 256 go ssd / gris,1519000.0,[A2AQ0EA],
pc portable dell vostro 3520 / i5-1235u / 24 go / 512 go ssd / windows 11 pro / noir,1519000.0,[V3520I5-UBU-24W11P],
pc portable lenovo v15 i5-13420h 8g 512gssd +  sacoche  offerte,1529000.0,[83A1009HFE-2Y],
pc portable lenovo ideapad 1 15alc7 / ryzen 7 5700u / 8 go / 512 go ssd / gris avec sacoche lenovo offert,1545000.0,[82R400KVFG-2Y],
pc portable msi modern 15 - b13m / i5-1335u / 16 go / 512 go ssd / windows 11 pro,1559000.0,[B13M-1018XFR-W],
pc portable hp 15-fd0267nk / i5-1334u / 24 go / 256 go ssd / gris,1565000.0,[A2AQ0EA-24],
pc portable lenovo ideapad 1 15alc7 / ryzen 7 5700u / 12 go / 512 go ssd / gris avec sacoche lenovo offert,1569000.0,[82R400KVFG-2Y-12],
pc portable lenovo ideapad slim 3 15iah8 / i5-12450h / 16 go / 512 go ssd / gris avec sacoche lenovo offerte,1569000.0,[83ER00H5FG-2Y],
pc portable hp 15-fd0267nk / i5-1334u / 8 go / 256 go ssd / windows 11 pro / gris,1579000.0,[A2AQ0EA-W11P],
pc portable dell vostro 3530 / i5-1334u / 16 go / 512 go ssd / noir,1579000.0,[N3409PVNB3530-UBU-16],
pc portable lenovo thinkbook 16 g6 en irl / i3-1315u / 16 go ddr5 / 512 go ssd / gris,1589000.0,[21KH00SPFE-2Y-16],
pc portable dell vostro 3530 / i5-1335u / 8 go / 512 go ssd / windows 11,1589000.0,[361505-3530],
pc portable lenovo v15 / i5-13420h / 16 go / 512 go ssd +  sacoche  offerte,1599000.0,[83A1009HFE-2Y-16],
pc portable dell vostro 3530 / i5-1335u / 12 go / 512 go ssd / windows 11,1609000.0,[361505-3530-12],
pc portable lenovo ideapad 1 15alc7 / ryzen 7 5700u / 16 go / 512 go ssd / gris avec sacoche lenovo offert,1609000.0,[82R400KVFG-2Y-16],
pc portable hp 15-fd0093nk / i5-1334u / 8 go / 512 go ssd / gold,1619000.0,[A2AP6EA],
pc portable dell vostro 3530 / i5-1334u / 24 go / 512 go ssd / noir,1619000.0,[N3409PVNB3530-UBU-24],
pc portable hp 15-fd0267nk / i5-1334u / 16 go / 256 go ssd / gris,1619000.0,[A2AQ0EA-16],
pc portable hp 15-fd0095nk / i5-1334u / 8 go / 512 go ssd / silver,1619000.0,[A2AP7EA],
pc portable hp 15-fd0097nk / i5-1334u / 8 go / 512 go ssd / noir,1619000.0,[A2AP8EA],
pc portable lenovo ideapad slim 3 15iah8 / i5-12450h / 16 go / 512 go ssd / gris windows 11 pro avec sacoche lenovo offerte,1629000.0,[83ER00H5FG-2Y-W11P],
pc portable hp 15-fd0267nk / i5-1334u / 20 go / 256 go ssd / gris,1629000.0,[A2AQ0EA-20],
pc portable lenovo thinkbook 16 g6 en irl / i3-1315u / 24 go ddr5 / 512 go ssd / gris,1629000.0,[21KH00SPFE-2Y-24],
pc portable hp 15-fd0095nk / i5-1334u / 12 go / 512 go ssd / silver,1635000.0,[A2AP7EA-12],
pc portable lenovo v15 / i5-13420h/ 24 go / 512 go ssd +  sacoche  offerte,1639000.0,[83A1009HFE-2Y-24],
pc portable  hp15-fd0042nk / i5-1334u / 8g 512ssd / windows 11/ silver,1639000.0,[9D6W0EA],
pc portable  hp15-fd0041nk / i5-1334u / 8g 512ssd / windows 11/ blue,1639000.0,[9D6V9EA],
pc portable hp 15-fd0093nk / i5-1334u / 12 go / 512 go ssd / gold,1639000.0,[A2AP6EA-12],
pc portable  hp15-fd0041nk / i5-1334u / 8g 512ssd / windows 11/ gold,1639000.0,[9D6W1EA],
pc portable lenovo ideapad 1 15alc7 / ryzen 7 5700u / 24 go / 512 go ssd / gris avec sacoche lenovo offert,1649000.0,[82R400KVFG-2Y-24],
pc portable dell vostro 3530 / i5-1335u / 16 go / 512 go ssd / windows 11,1649000.0,[361505-3530-16],
pc portable asus vivobook 15 x1502va / i5-13500h / 8 go / windows 11 / silver,1655000.0,[S-X1502VA-NJ231W],
pc portable  hp15-fd0042nk / i5-1334u / 12g 512ssd / windows 11/ silver,1659000.0,[9D6W0EA-12],
pc portable  hp15-fd0041nk / i5-1334u / 12g 512ssd / windows 11/ gold,1659001.0,[9D6W1EA-12],
pc portable  hp15-fd0041nk / i5-1334u / 12g 512ssd / windows 11/ blue,1659000.0,[9D6V9EA-12],
pc portable hp 15-fd0097nk / i5-1334u / 16 go / 512 go ssd / noir,1674000.0,[A2AP8EA-16],
pc portable asus vivobook 15 x1502va / i5-13500h / 12 go / windows 11 / silver,1675000.0,[S-X1502VA-NJ231W-12],
pc portable hp 15-fd0095nk / i5-1334u / 16 go / 512 go ssd / silver,1675000.0,[A2AP7EA-16],
pc portable dell vostro 3530 / i5-1334u / 32 go / 512 go ssd / noir,1679000.0,[N3409PVNB3530-UBU-32],
pc portable hp 15-fd0093nk / i5-1334u / 16 go / 512 go ssd / gold,1679000.0,[A2AP6EA-16],
