title,price,reference,description
PC Portable LENOVO IdeaPad Slim 3 15IAH8 i5 12è Gén 8G 512Go SSD - Gris,"1 469,000 DT", [83ER00DUFG],
PC Portable LENOVO IdeaPad 3 15IAU7 i5 12è Gén 8Go 512G SSD - Bleu,"1 469,000 DT", [82RK0174FG],
PC Portable LENOVO IdeaPad 3 15ALC6 AMD RYZEN 7 12G 512Go SSD - Gris,"1 495,000 DT", [82KU00H4FE-12G],
PC Portable LENOVO V15 G4 IRU i5 13è Gén 16Go 256Go SSD - Noir,"1 499,000 DT", [83A1009DFE-16G],
PC Portable LENOVO V15 G4 IRU i5 13è Gén 8G 256Go SSD - Noir,"1 505,000 DT", [BU-83A1009DFE-W11P],
,,,
,,,
PC Portable LENOVO IdeaPad Slim 3 15IAH8 i5 12è Gén 8Go 512G SSD - Gris,"1 529,000 DT", [BU-83ER00DUFG-W11P],
PC Portable LENOVO IdeaPad Slim 3 15IRH8 i5 13è Gén 8Go 512G SSD - Gris,"1 529,000 DT", [83EM008TFG],
PC Portable LENOVO IdeaPad Slim 3 15IRH8 i5 13è Gén 8Go 512Go SSD - Gris,"1 529,000 DT", [83EM0061FG],
PC Portable LENOVO V15 G4 IRU i5 13è Gén 8Go 512Go SSD - Noir,"1 535,000 DT", [83A1009HFE],
PC Portable LENOVO IdeaPad 3 15ALC6 AMD RYZEN 7 20G 512Go SSD - Gris,"1 539,000 DT", [82KU00H4FE-20G],
PC Portable LENOVO V15 G4 IRU i5 13è Gén 24Go 256Go SSD - Noir,"1 549,000 DT", [83A1009DFE-24G],
PC Portable LENOVO V15 G4 IRU i5 13è Gén 16G 256Go SSD - Noir,"1 559,000 DT", [BU-83A1009DFE-16G-W11P],
PC Portable LENOVO V15 G4 IRU i5 13è Gén 12Go 512Go SSD - Noir,"1 565,000 DT", [83A1009HFE-12G],
PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 8Go 512Go SSD - Silver,"1 589,000 DT", [X1502VA-NJ231W],
PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 8Go 512Go SSD - Bleu,"1 589,000 DT", [X1502VA-NJ147W],
PC Portable LENOVO V15 G4 IRU i5 13è Gén 8Go 512G SSD - Noir,"1 595,000 DT", [BU-83A1009HFE-W11P],
PC Portable LENOVO V15 G4 IRU i5 13è Gén 16Go 512Go SSD - Noir,"1 605,000 DT", [83A1009HFE-16G],
PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 12Go 512Go SSD - Silver,"1 609,000 DT", [X1502VA-NJ231W-12G],
PC Portable LENOVO V15 G4 IRU i5 13è Gén 24G 256Go SSD - Noir,"1 609,000 DT", [BU-83A1009DFE-24G-W11P],
PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 12Go 512Go SSD - Bleu,"1 609,000 DT", [X1502VA-NJ147W-12G],
PC Portable HP 15-fd0097nk i5 13è Gén 8Go 512Go SSD - Noir,"1 619,000 DT", [A2AP8EA],
PC Portable HP 15-fd0094nk i5 13è Gén 8Go 512Go SSD - Silver & Bleu,"1 619,000 DT", [A2AP5EA],
PC Portable HP 15-fd0093nk i5 13è Gén 8Go 512Go SSD - Silver & Or Chaud,"1 619,000 DT", [A2AP6EA],
PC Portable HP 15-fd0095nk i5 13è Gén 8Go 512Go SSD - Silver,"1 619,000 DT", [A2AP7EA],
PC Portable LENOVO V15 G4 IRU i5 13è Gén 12G 512Go SSD - Noir,"1 625,000 DT", [BU-83A1009HFE-12G-W11P],
PC Portable HP 15-fd0095nk i5 13è Gén 12Go 512Go SSD - Silver,"1 635,000 DT", [A2AP7EA-12G],
PC Portable HP 15-fd0093nk i5 13è Gén 12Go 512Go SSD - Silver & Or Chaud,"1 635,000 DT", [A2AP6EA-12G],
PC Portable HP 15-fd0094nk i5 13è Gén 12Go 512Go SSD - Silver & Bleu,"1 635,000 DT", [A2AP5EA-12G],
PC Portable HP 15-fd0097nk i5 13è Gén 12Go 512Go SSD - Noir,"1 635,000 DT", [A2AP8EA-12G],
PC Portable ASUS Vivobook 16 X1605VA i5 13è Gén 8Go 512Go SSD - Silver,"1 639,000 DT", [X1605VA-MB475W],
,,,
,,,
PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 16Go 512Go SSD - Bleu,"1 639,000 DT", [X1502VA-NJ147W-16G],
PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 16Go 512Go SSD - Silver,"1 645,000 DT", [X1502VA-NJ231W-16G],
PC Portable LENOVO V15 G4 IRU i5 13è Gén 24Go 512Go SSD - Noir,"1 645,000 DT", [83A1009HFE-24G],
PC Portable HP 15-fd0041nk i5 13è Gén 8Go 512Go SSD - Silver & Bleu,"1 659,000 DT", [9D6V9EA],
